,layer,layer_type,mode,prob_letter0,prob_letter1,prob_letter2,prob_letter3,prob_letter4,Let0,Let0Acc,Let1,Let1Acc,Let2,Let2Acc,Let3,Let3Acc,Let4,Let4Acc,Let1Prev,Let1PrevDiff,Let2Prev,Let2PrevDiff,Let3Prev,Let3PrevDiff,Let4Prev,Let4PrevDiff,Let0Next,Let0NextDiff,Let1Next,Let1NextDiff,Let2Next,Let2NextDiff,Let3Next,Let3NextDiff
12,3,attn,noising,0.8377004861831665,0.9392179250717163,0.9692507982254028,0.9495759010314941,0.8579539060592651,-0.7395163178443909,0.96875,-0.8936852216720581,0.7265625,-1.0666004419326782,0.6640625,-1.154374599456787,0.6171875,-0.7385455369949341,0.84375,-6.1472673416137695,5.253582119941711,-6.067279815673828,5.00067937374115,-5.3448805809021,4.1905059814453125,-5.801648139953613,5.063102602958679,-4.3169426918029785,3.5774263739585876,-3.152771472930908,2.25908625125885,-3.486340045928955,2.419739603996277,-3.0717275142669678,1.9173529148101807
13,3,attn,denoising,0.8328151702880859,0.9402349591255188,0.965496301651001,0.9446266889572144,0.8948812484741211,-4.696283340454102,0.0625,-4.758734226226807,0.125,-5.463794708251953,0.0390625,-5.561997890472412,0.0703125,-6.1785664558410645,0.0859375,-5.907138347625732,1.1484041213989258,-5.670138359069824,0.2063436508178711,-5.056041240692139,-0.5059566497802734,-6.024155616760254,-0.15441083908081055,-4.7508368492126465,0.05455350875854492,-5.171631813049316,0.41289758682250977,-5.4167938232421875,-0.047000885009765625,-5.846522808074951,0.28452491760253906
14,3,mlp,noising,0.8370316028594971,0.9394696950912476,0.969821572303772,0.949276328086853,0.8581866025924683,-0.7419947385787964,0.96875,-0.8955353498458862,0.734375,-1.073589563369751,0.65625,-1.1651430130004883,0.6015625,-0.7311760783195496,0.84375,-6.148046970367432,5.252511620521545,-6.072917938232422,4.999328374862671,-5.341892719268799,4.1767497062683105,-5.788875579833984,5.057699501514435,-4.312505722045898,3.570510983467102,-3.155338764190674,2.2598034143447876,-3.474283218383789,2.400693655014038,-3.0445303916931152,1.879387378692627
15,3,mlp,denoising,0.8335195183753967,0.9404505491256714,0.9656565189361572,0.944638729095459,0.8934593200683594,-4.694559097290039,0.0625,-4.755742073059082,0.1171875,-5.477363109588623,0.0390625,-5.54434871673584,0.0625,-6.17236328125,0.0859375,-5.903564453125,1.147822380065918,-5.661489486694336,0.1841263771057129,-5.067604064941406,-0.4767446517944336,-6.00525426864624,-0.16710901260375977,-4.751344203948975,0.05678510665893555,-5.171169281005859,0.41542720794677734,-5.428431510925293,-0.04893159866333008,-5.842295169830322,0.2979464530944824
16,4,attn,noising,0.8378357291221619,0.9392794370651245,0.9693224430084229,0.9495920538902283,0.8581881523132324,-0.7388530969619751,0.96875,-0.8923227190971375,0.7265625,-1.0679762363433838,0.6640625,-1.1586270332336426,0.6015625,-0.7380530834197998,0.84375,-6.148974418640137,5.256651699542999,-6.0738115310668945,5.005835294723511,-5.359414100646973,4.20078706741333,-5.810616493225098,5.072563409805298,-4.318367958068848,3.5795148611068726,-3.1555709838867188,2.2632482647895813,-3.4872851371765137,2.41930890083313,-3.061715841293335,1.9030888080596924
17,4,attn,denoising,0.8332113027572632,0.9400444626808167,0.9657852053642273,0.9446424245834351,0.8953276872634888,-4.6943359375,0.0625,-4.752525329589844,0.1171875,-5.457828998565674,0.0390625,-5.557978630065918,0.0625,-6.187915802001953,0.0859375,-5.900478363037109,1.1479530334472656,-5.663684844970703,0.2058558464050293,-5.041926383972168,-0.51605224609375,-6.026611328125,-0.16130447387695312,-4.75016975402832,0.05583381652832031,-5.170420169830322,0.4178948402404785,-5.417915344238281,-0.03991365432739258,-5.8432817459106445,0.28530311584472656
18,4,mlp,noising,0.8368862867355347,0.9390510320663452,0.9687768220901489,0.949072003364563,0.8584121465682983,-0.7424533367156982,0.96875,-0.8974482417106628,0.734375,-1.0679268836975098,0.6640625,-1.1527128219604492,0.625,-0.7394924163818359,0.828125,-6.15383768081665,5.2563894391059875,-6.088613033294678,5.020686149597168,-5.358577728271484,4.205864906311035,-5.812938213348389,5.073445796966553,-4.314094543457031,3.571641206741333,-3.15594482421875,2.258496582508087,-3.4800095558166504,2.4120826721191406,-3.0536632537841797,1.9009504318237305
19,4,mlp,denoising,0.8330273628234863,0.9403226375579834,0.9656850695610046,0.9446329474449158,0.894059419631958,-4.701958656311035,0.0625,-4.752767562866211,0.1171875,-5.4484405517578125,0.0390625,-5.549520492553711,0.0703125,-6.167872428894043,0.0859375,-5.897483825683594,1.1447162628173828,-5.630130290985107,0.18168973922729492,-5.041679382324219,-0.5078411102294922,-6.005315780639648,-0.16255664825439453,-4.755529403686523,0.05357074737548828,-5.172674179077148,0.4199066162109375,-5.414768218994141,-0.033672332763671875,-5.841031074523926,0.29151058197021484
20,5,attn,noising,0.8373289108276367,0.9392341375350952,0.9697704315185547,0.9501673579216003,0.8580384254455566,-0.7403355240821838,0.9609375,-0.9006662368774414,0.7421875,-1.0677992105484009,0.6640625,-1.155402660369873,0.609375,-0.7394310832023621,0.828125,-6.161423683166504,5.2607574462890625,-6.0757904052734375,5.007991194725037,-5.364925861358643,4.2095232009887695,-5.812385559082031,5.072954475879669,-4.317008018493652,3.5766724944114685,-3.155122995376587,2.2544567584991455,-3.484421491622925,2.416622281074524,-3.0751423835754395,1.9197397232055664
21,5,attn,denoising,0.8333371877670288,0.9401921629905701,0.9656579494476318,0.9444407224655151,0.8952445983886719,-4.687995433807373,0.0625,-4.755228519439697,0.125,-5.466662406921387,0.0390625,-5.559921741485596,0.0703125,-6.169183731079102,0.0859375,-5.895701885223389,1.1404733657836914,-5.66314697265625,0.19648456573486328,-5.045186519622803,-0.514735221862793,-6.003897666931152,-0.16528606414794922,-4.746643543243408,0.058648109436035156,-5.1755876541137695,0.42035913467407227,-5.426772117614746,-0.039890289306640625,-5.837621688842773,0.27769994735717773
22,5,mlp,noising,0.8369492292404175,0.9399547576904297,0.969406247138977,0.9488989114761353,0.8583278059959412,-0.7441463470458984,0.96875,-0.8934966921806335,0.7421875,-1.0728986263275146,0.65625,-1.160811424255371,0.625,-0.7386470437049866,0.8203125,-6.155056476593018,5.261559784412384,-6.083099842071533,5.0102012157440186,-5.366649627685547,4.205838203430176,-5.800669193267822,5.062022149562836,-4.31345796585083,3.5693116188049316,-3.1627197265625,2.2692230343818665,-3.4731600284576416,2.400261402130127,-3.0533385276794434,1.8925271034240723
23,5,mlp,denoising,0.8323284387588501,0.9403565526008606,0.9654762744903564,0.9453545808792114,0.8942841291427612,-4.687944412231445,0.0625,-4.757970809936523,0.125,-5.450314521789551,0.0390625,-5.561309814453125,0.0703125,-6.16758918762207,0.0859375,-5.899168014526367,1.1411972045898438,-5.641110420227051,0.1907958984375,-5.040736675262451,-0.5205731391906738,-6.013453483581543,-0.15413570404052734,-4.742832183837891,0.05488777160644531,-5.169584274291992,0.41161346435546875,-5.421060562133789,-0.02925395965576172,-5.851062297821045,0.2897524833679199
24,6,attn,noising,0.8370070457458496,0.9394453763961792,0.9694125056266785,0.949693500995636,0.858661949634552,-0.7416175603866577,0.96875,-0.8920749425888062,0.734375,-1.0655810832977295,0.6640625,-1.1512010097503662,0.625,-0.7357075214385986,0.84375,-6.156491279602051,5.264416337013245,-6.070469379425049,5.004888296127319,-5.358551502227783,4.207350492477417,-5.803155422210693,5.067447900772095,-4.314521789550781,3.5729042291641235,-3.1578123569488525,2.2657374143600464,-3.4828858375549316,2.417304754257202,-3.0750303268432617,1.9238293170928955
25,6,attn,denoising,0.8336263298988342,0.9403851628303528,0.9656025767326355,0.9446306228637695,0.8947248458862305,-4.691779136657715,0.0625,-4.764597415924072,0.1171875,-5.466346740722656,0.0390625,-5.564068794250488,0.078125,-6.189248085021973,0.0859375,-5.904958724975586,1.1403613090515137,-5.666165351867676,0.19981861114501953,-5.057857036590576,-0.5062117576599121,-6.020150184631348,-0.169097900390625,-4.750943183898926,0.05916404724121094,-5.18182373046875,0.41722631454467773,-5.4219841957092285,-0.044362545013427734,-5.840178489685059,0.2761096954345703
26,6,mlp,noising,0.8371896147727966,0.9393129348754883,0.969170868396759,0.9497469663619995,0.8587518930435181,-0.7405429482460022,0.96875,-0.901699960231781,0.7265625,-1.082104206085205,0.65625,-1.1565475463867188,0.6171875,-0.7412096858024597,0.84375,-6.145437717437744,5.243737757205963,-6.0869975090026855,5.0048933029174805,-5.350681304931641,4.194133758544922,-5.800387382507324,5.0591776967048645,-4.313357353210449,3.572814404964447,-3.144232749938965,2.242532789707184,-3.476083278656006,2.393979072570801,-3.06254506111145,1.9059975147247314
27,6,mlp,denoising,0.8329271674156189,0.9399781823158264,0.966102123260498,0.9441019296646118,0.8949213027954102,-4.691692352294922,0.0625,-4.757047653198242,0.1171875,-5.4733567237854,0.046875,-5.550825119018555,0.0703125,-6.189299583435059,0.0859375,-5.895051956176758,1.1380043029785156,-5.658202648162842,0.1848459243774414,-5.043378829956055,-0.5074462890625,-6.024028778076172,-0.16527080535888672,-4.745594024658203,0.05390167236328125,-5.172622203826904,0.4155745506286621,-5.429673194885254,-0.043683528900146484,-5.825744152069092,0.2749190330505371
28,7,attn,noising,0.8371937274932861,0.9395033121109009,0.9691647291183472,0.9494976997375488,0.8585120439529419,-0.7418419122695923,0.96875,-0.8936840295791626,0.75,-1.0631533861160278,0.6640625,-1.159385323524475,0.6171875,-0.7367483377456665,0.84375,-6.15627908706665,5.262595057487488,-6.068584442138672,5.005431056022644,-5.3561859130859375,4.196800589561462,-5.808468818664551,5.071720480918884,-4.314526557922363,3.572684645652771,-3.1557371616363525,2.26205313205719,-3.4937691688537598,2.430615782737732,-3.0667362213134766,1.9073508977890015
29,7,attn,denoising,0.8336396813392639,0.9401925802230835,0.9655381441116333,0.9446555376052856,0.895060658454895,-4.695680141448975,0.0625,-4.753446102142334,0.1171875,-5.469696998596191,0.0390625,-5.550198078155518,0.0703125,-6.179866790771484,0.0859375,-5.900496006011963,1.147049903869629,-5.663232803344727,0.19353580474853516,-5.046449661254883,-0.5037484169006348,-6.015573501586914,-0.1642932891845703,-4.75307559967041,0.05739545822143555,-5.172820091247559,0.4193739891052246,-5.411920547485352,-0.057776451110839844,-5.834321022033691,0.28412294387817383
30,7,mlp,noising,0.8369089365005493,0.9388387203216553,0.9689988493919373,0.9497038125991821,0.8585896492004395,-0.7431286573410034,0.9609375,-0.8961739540100098,0.75,-1.06742525100708,0.6484375,-1.1553089618682861,0.6171875,-0.7337371110916138,0.8515625,-6.155591011047363,5.2594170570373535,-6.067934036254883,5.000508785247803,-5.370272636413574,4.214963674545288,-5.775397300720215,5.041660189628601,-4.308790683746338,3.5656620264053345,-3.1518805027008057,2.255706548690796,-3.4727206230163574,2.4052953720092773,-3.0663702487945557,1.9110612869262695
