,pos,pos_label,layer,mode,prob_letter0,prob_letter1,prob_letter2,prob_letter3,prob_letter4,Let0,Let0Acc,Let1,Let1Acc,Let2,Let2Acc,Let3,Let3Acc,Let4,Let4Acc,Let1Prev,Let1PrevDiff,Let2Prev,Let2PrevDiff,Let3Prev,Let3PrevDiff,Let4Prev,Let4PrevDiff,Let0Next,Let0NextDiff,Let1Next,Let1NextDiff,Let2Next,Let2NextDiff,Let3Next,Let3NextDiff
230,-4,Let1,19,noising,0.8373759984970093,0.939265787601471,0.9672180414199829,0.9492126703262329,0.8596845865249634,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.172838807106018,0.6015625,-1.1618173122406006,0.6171875,-0.7351523637771606,0.8515625,-6.152576446533203,5.257986426353455,-5.890359878540039,4.717521071434021,-5.368887901306152,4.207070589065552,-5.816844463348389,5.081692099571228,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.3718690872192383,2.19903028011322,-3.0613598823547363,1.8995425701141357
231,-4,Let1,19,denoising,0.8332477807998657,0.9402710199356079,0.9661910533905029,0.9447368383407593,0.8961222171783447,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.175514221191406,0.0546875,-5.582925796508789,0.0703125,-6.208986282348633,0.0859375,-5.90278959274292,1.1440925598144531,-5.761631011962891,0.5861167907714844,-5.0500946044921875,-0.5328311920166016,-6.0282392501831055,-0.18074703216552734,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.333992958068848,0.1584787368774414,-5.861027240753174,0.27810144424438477
232,-4,Let1,20,noising,0.8373759984970093,0.939265787601471,0.9687799215316772,0.9496886730194092,0.8583306074142456,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.1586222648620605,0.625,-1.1769838333129883,0.6015625,-0.740477442741394,0.84375,-6.152576446533203,5.257986426353455,-6.060108184814453,4.901485919952393,-5.374623775482178,4.1976399421691895,-5.814476013183594,5.0739985704422,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.321850299835205,2.1632280349731445,-3.0692830085754395,1.8922991752624512
233,-4,Let1,20,denoising,0.8332477807998657,0.9402710199356079,0.9676450490951538,0.9444152116775513,0.8955785036087036,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.185796737670898,0.0625,-5.547451019287109,0.0703125,-6.1942644119262695,0.0859375,-5.90278959274292,1.1440925598144531,-5.668646812438965,0.4828500747680664,-5.030770301818848,-0.5166807174682617,-6.029239654541016,-0.1650247573852539,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.3407158851623535,0.15491914749145508,-5.837467670440674,0.29001665115356445
234,-4,Let1,21,noising,0.8373759984970093,0.939265787601471,0.9688856601715088,0.9495890140533447,0.8578201532363892,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.2354656457901,0.6171875,-1.1614971160888672,0.625,-0.741047203540802,0.859375,-6.152576446533203,5.257986426353455,-5.8671650886535645,4.631699442863464,-5.391340255737305,4.2298431396484375,-5.813942909240723,5.072895705699921,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.335507869720459,2.100042223930359,-3.064919948577881,1.9034228324890137
235,-4,Let1,21,denoising,0.8332477807998657,0.9402710199356079,0.9664371609687805,0.944582462310791,0.8960270881652832,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-4.995681285858154,0.0703125,-5.543439865112305,0.0703125,-6.184296607971191,0.0859375,-5.90278959274292,1.1440925598144531,-5.604745388031006,0.6090641021728516,-5.011566638946533,-0.5318732261657715,-6.028639793395996,-0.1556568145751953,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.186729907989502,0.19104862213134766,-5.814377784729004,0.2709379196166992
236,-4,Let1,22,noising,0.8373759984970093,0.939265787601471,0.9681239128112793,0.9495148062705994,0.8591210842132568,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.1835006475448608,0.609375,-1.1707868576049805,0.6171875,-0.7348546385765076,0.8359375,-6.152576446533203,5.257986426353455,-6.039300441741943,4.8557997941970825,-5.412275791168213,4.241488933563232,-5.819185733795166,5.0843310952186584,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.328948497772217,2.145447850227356,-3.0651707649230957,1.8943839073181152
237,-4,Let1,22,denoising,0.8332477807998657,0.9402710199356079,0.965798556804657,0.9445023536682129,0.8951399922370911,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-4.815365791320801,0.0703125,-5.520549297332764,0.0625,-6.175745487213135,0.0859375,-5.90278959274292,1.1440925598144531,-5.499363899230957,0.6839981079101562,-4.993705749511719,-0.5268435478210449,-6.011950492858887,-0.16379499435424805,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.100437164306641,0.28507137298583984,-5.80040168762207,0.27985239028930664
238,-4,Let1,23,noising,0.8373759984970093,0.939265787601471,0.9686909914016724,0.9488193988800049,0.8576594591140747,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.1318442821502686,0.6328125,-1.166942834854126,0.6015625,-0.7407466173171997,0.828125,-6.152576446533203,5.257986426353455,-6.02544641494751,4.893602132797241,-5.379125118255615,4.212182283401489,-5.812068462371826,5.0713218450546265,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.531097412109375,2.3992531299591064,-3.062635898590088,1.895693063735962
239,-4,Let1,23,denoising,0.8332477807998657,0.9402710199356079,0.965471625328064,0.9437952041625977,0.8949803113937378,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.2397260665893555,0.046875,-5.534934043884277,0.0703125,-6.183523654937744,0.0859375,-5.90278959274292,1.1440925598144531,-5.667294502258301,0.4275684356689453,-5.023792266845703,-0.5111417770385742,-6.013972282409668,-0.16955137252807617,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.248360633850098,0.008634567260742188,-5.811694622039795,0.2767605781555176
