,letter,k,dla,median_dla
0,0,10240,2.0248754024505615,1.7750990390777588
1,0,1,0.6889390349388123,0.44039201736450195
2,0,3,1.2493298053741455,0.9565131664276123
3,0,5,1.6230169534683228,1.3081002235412598
4,0,10,2.281066656112671,1.9587690830230713
5,0,50,5.012548446655273,4.788422584533691
6,0,100,6.940369606018066,6.777102947235107
7,1,10240,5.378947734832764,5.320176601409912
8,1,1,1.117268681526184,0.8817031979560852
9,1,3,2.0884408950805664,1.8217453956604004
10,1,5,2.6817846298217773,2.416163921356201
11,1,10,3.70220685005188,3.5028107166290283
12,1,50,7.940445423126221,7.841806888580322
13,1,100,11.025976181030273,11.003052711486816
14,2,10240,4.749726295471191,4.649083137512207
15,2,1,1.032278299331665,0.7329294681549072
16,2,3,1.957471251487732,1.5676746368408203
17,2,5,2.52876877784729,2.137727975845337
18,2,10,3.5592000484466553,3.1905221939086914
19,2,50,8.023897171020508,7.79041862487793
20,2,100,11.312723159790039,11.160238265991211
21,3,10240,4.362027645111084,4.223706245422363
22,3,1,0.8626419901847839,0.6635419130325317
23,3,3,1.6626826524734497,1.424126386642456
24,3,5,2.194183111190796,1.9474724531173706
25,3,10,3.164976119995117,2.9107182025909424
26,3,50,7.363857269287109,7.163895606994629
27,3,100,10.423463821411133,10.245957374572754
28,4,10240,4.5634870529174805,4.361822605133057
29,4,1,0.8910871148109436,0.6537460088729858
30,4,3,1.6448708772659302,1.4021369218826294
31,4,5,2.1344642639160156,1.8851861953735352
32,4,10,3.0474672317504883,2.795102596282959
33,4,50,6.984344959259033,6.779426097869873
34,4,100,9.806680679321289,9.660139083862305
