,pos,pos_label,layer,mode,prob_letter0,prob_letter1,prob_letter2,prob_letter3,prob_letter4,Let0,Let0Acc,Let1,Let1Acc,Let2,Let2Acc,Let3,Let3Acc,Let4,Let4Acc,Let1Prev,Let1PrevDiff,Let2Prev,Let2PrevDiff,Let3Prev,Let3PrevDiff,Let4Prev,Let4PrevDiff,Let0Next,Let0NextDiff,Let1Next,Let1NextDiff,Let2Next,Let2NextDiff,Let3Next,Let3NextDiff
319,-3,Let2,31,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9442673921585083,0.8951346278190613,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.536816596984863,0.0625,-6.183436393737793,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.035442352294922,-0.5013742446899414,-6.021900177001953,-0.16153621673583984,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.810872554779053,0.27405595779418945
320,-2,Let3,0,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9497209191322327,0.8600177764892578,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1561164855957031,0.625,-0.7318036556243896,0.8359375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.360030651092529,4.203914165496826,-5.863239288330078,5.1314356327056885,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0697433948516846,1.9136269092559814
321,-2,Let3,0,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9446361064910889,0.891700267791748,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.558633804321289,0.0703125,-6.183493614196777,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.047530174255371,-0.511103630065918,-6.043868064880371,-0.13962554931640625,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.839853286743164,0.281219482421875
322,-2,Let3,1,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9497209191322327,0.8260040283203125,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1561164855957031,0.625,-1.1030672788619995,0.7109375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.360030651092529,4.203914165496826,-5.87337589263916,4.770308613777161,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0697433948516846,1.9136269092559814
323,-2,Let3,1,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9446361064910889,0.8538142442703247,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.558633804321289,0.0703125,-5.806846618652344,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.047530174255371,-0.511103630065918,-5.64007568359375,-0.16677093505859375,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.839853286743164,0.281219482421875
324,-2,Let3,2,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9497209191322327,0.8595143556594849,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1561164855957031,0.625,-0.7494614124298096,0.828125,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.360030651092529,4.203914165496826,-5.782891750335693,5.033430337905884,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0697433948516846,1.9136269092559814
325,-2,Let3,2,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9446361064910889,0.8978122472763062,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.558633804321289,0.0703125,-6.139588832855225,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.047530174255371,-0.511103630065918,-5.99669885635376,-0.14288997650146484,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.839853286743164,0.281219482421875
326,-2,Let3,3,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9497209191322327,0.8462049961090088,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1561164855957031,0.625,-0.8017978668212891,0.84375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.360030651092529,4.203914165496826,-5.84222936630249,5.040431499481201,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0697433948516846,1.9136269092559814
327,-2,Let3,3,denoising,0.8332477807998657,0.9402710199356079,0.965831995010376,0.9446361064910889,0.8831127882003784,-4.693222999572754,0.0625,-4.758697032928467,0.1171875,-5.467374801635742,0.0390625,-5.558633804321289,0.0703125,-6.145699501037598,0.0859375,-5.90278959274292,1.1440925598144531,-5.663221836090088,0.1958470344543457,-5.047530174255371,-0.511103630065918,-6.008549690246582,-0.13714981079101562,-4.750310897827148,0.05708789825439453,-5.174429416656494,0.41573238372802734,-5.423520088195801,-0.043854713439941406,-5.839853286743164,0.281219482421875
328,-2,Let3,4,noising,0.8373759984970093,0.939265787601471,0.969433605670929,0.9497209191322327,0.8545060753822327,-0.7408467531204224,0.96875,-0.8945900201797485,0.7265625,-1.0670086145401,0.6640625,-1.1561164855957031,0.625,-0.740894079208374,0.84375,-6.152576446533203,5.257986426353455,-6.0763373374938965,5.009328722953796,-5.360030651092529,4.203914165496826,-5.791974067687988,5.051079988479614,-4.315759658813477,3.574912905693054,-3.155596971511841,2.2610069513320923,-3.4841113090515137,2.4171026945114136,-3.0697433948516846,1.9136269092559814
